area_type,availability,location,size,society,total_sqft,bath,balcony,price,bath_balcony_ratio,property_type
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39,1,Flat++
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,1,125,3,Flat+
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36,2,Flat++
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Dieldli,1070,2,1,45.5,2,Flat++
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125,1.5,Flat++
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Gentson,1290,2,2,56.12,1,Flat++
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gentson,1143,2,2,45,1,Flat+
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,2,81,1,Flat+
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38,1.5,Flat++
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38,inf,Flat++
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Soazak ,660,1,0,48,inf,Plot
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,91.79,1,Flat++
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,LancyRe,600,9,0,200,inf,Plot
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33,inf,Flat++
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82,2,Flat++
Plot  Area,Ready To Move,KR Puram,2 Bedroom,Bhncyis,800,1,1,130,1,Plot
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,Bhncyis,869,2,1,36,2,Flat+
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50,2,Flat++
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99,3,Flat++
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91,1.5,Flat+
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75,1,Flat++
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75,0.67,Flat++
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44,1,Flat++
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,2,2,192,1,Flat+
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185,1,Flat++
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,Laavevi,1407,4,1,150,4,Plot
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,Laavevi,840,2,2,45,1,Flat++
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,Laavevi,4395,3,2,240,1.5,Plot
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55,2,Flat++
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,650,1.67,Plot
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44,1,Flat+
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,BMineis,3000,8,0,140,inf,Flat+
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,BMineis,1100,2,1,62,2,Flat++
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43,0.67,Flat++
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Pruthg ,1220,2,1,57,2,Flat++
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,Pruthg ,1350,7,0,85,inf,Plot
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Pruthg ,1005,2,1,36.68,2,Flat++
Plot  Area,Ready To Move,Double Road,3 Bedroom,Pruthg ,500,3,2,100,1.5,Plot
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2,1,80.58,2,Flat++
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3,1,101,3,Flat++
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,70,2,Flat++
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140,1.5,Flat++
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Viony H,1206,2,1,48.23,2,Flat++
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Viony H,1150,2,3,40,0.67,Flat++
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,205,1,Flat+
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,AdentEl,460,1,0,22,inf,Flat+
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,AdentEl,4400,6,3,250,2,Flat+
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,105,1,Flat++
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,2,2,224.5,1,Flat+
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,2,78,1,Flat++
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,SJlynro,1325,2,2,60.8,1,Flat++
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5,2,102,2.5,Flat++
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,Tavenew,3000,7,2,210,3.5,Flat+
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Tavenew,1665,3,2,88,1.5,Flat++
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,2,37,1,Flat++
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2,2,58.06,1,Flat++
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Saenti ,710,6,3,160,2,Plot
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2,2,70,1,Flat+
Super built-up  Area,18-Dec,Electronic City,2 BHK,Bhmesy ,1000,2,1,28.88,2,Flat++
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,Bhmesy ,1450,2,2,70,1,Flat++
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,Bhmesy ,1200,4,2,155,2,Plot
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2,3,80,0.67,Flat++
Super built-up  Area,Ready To Move,Domlur,3 BHK,Goardth,1540,3,2,90,1.5,Flat++
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4,1,245,4,Plot
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,IBityin,1330,2,1,48,2,Flat++
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,IBityin,1200,2,1,65,2,Flat+
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,IBityin,1200,3,1,90,3,Flat+
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3,3,138,1,Flat++
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1,1,17,1,Flat+
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2,1,150,2,Plot
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2,2,43,1,Flat++
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2,2,50,1,Flat++
Super built-up  Area,Ready To Move,Peenya,2 BHK,Brway G,966,2,2,49.9,1,Flat++
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Brway G,1630,2,1,98,2,Flat+
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3,2,229,1.5,Flat+
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Oznuean,782,2,2,55.68,1,Flat+
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2,2,66.78,1,Flat++
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,Reeroce,1800,3,3,120,1,Flat++
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2,2,75,1,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,1,51.91,2,Flat++
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2,1,45.9,2,Flat++
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Cetattu,3700,4,1,225,4,Flat+
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3,2,140,1.5,Flat+
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2,3,64,0.67,Flat++
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Moity S,1436,3,1,74.75,3,Flat++
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,Moity S,1100,2,2,75,1,Flat++
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,Moity S,276,3,3,23,1,Plot
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3,2,120,1.5,Flat++
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3,1,200,3,Flat++
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4,0,477,inf,Flat++
Built-up  Area,Ready To Move,Shampura,4 BHK,Sabixtt,2650,4,2,150,2,Flat+
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2,2,68.52,1,Flat++
Built-up  Area,Ready To Move,Kadugodi,2 BHK,Sragei ,1050,2,1,34,2,Flat+
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3,2,65,1.5,Flat+
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,SyidaCr,945,2,1,54,2,Flat++
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2,1,78,2,Flat++
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,Jahts H,950,7,0,115,inf,Plot
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3,3,110,1,Flat+
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3,1,75,3,Plot
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1,1,16.5,1,Flat++
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,Srier P,1200,4,0,210,inf,Plot
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,83,1.5,Flat++
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,57,2,Flat+
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2,1,65,2,Flat++
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2,0,54.005,inf,Flat++
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,TiaksAa,1280,3,1,50.4,3,Flat++
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2,2,85.05,1,Flat++
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,LedorSa,5000,8,1,250,8,Flat+
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5,1,213,5,Flat++
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3,1,105,3,Flat++
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,ViensRK,1000,2,1,60,2,Flat++
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2,1,43.76,2,Flat++
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,Somumys,4000,7,2,225,3.5,Flat++
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3,1,110,3,Flat++
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2,1,35,2,Flat++
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3,3,46.74,1,Flat++
Plot  Area,Ready To Move,Dinnur,6 Bedroom,Brama P,1034,5,2,185,2.5,Plot
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4,2,91.31,2,Flat++
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,58,2,Flat++
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,Betatsi,1250,2,3,44,0.67,Flat++
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4,2,235,2,Flat++
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2,2,50,1,Flat++
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2,1,30.6,2,Flat++
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Soitya ,1200,2,2,50,1,Flat++
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3,3,135,1,Flat++
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3,1,145,3,Flat++
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,SStusan,3750,4,0,760,inf,Plot
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,SStusan,1350,2,3,48,0.67,Flat+
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2,1,32,2,Flat++
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3,1,150,3,Flat++
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Hohnari,4200,4,2,420,2,Flat+
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3,1,175,3,Flat++
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2,0,43.49,inf,Flat++
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2,2,75,1,Flat++
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2,1,64.5,2,Flat++
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2,1,60,2,Flat+
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2,2,70,1,Flat+
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,Jae 1hu,1300,6,0,99,inf,Flat++
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1,1,11,1,Flat++
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2,1,64.5,2,Flat++
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2,1,56,2,Flat++
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3,3,65,1,Flat++
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,Utntspa,1500,3,2,100,1.5,Plot
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,Utntspa,600,3,2,85,1.5,Plot
Plot  Area,Ready To Move,Nagavara,1 Bedroom,Utntspa,400,1,0,14,inf,Plot
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1,2,67,0.5,Flat++
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1,1,36,1,Flat+
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2,3,51,0.67,Flat++
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3,2,155,1.5,Flat++
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3,2,145,1.5,Flat++
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3,2,110,1.5,Flat++
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,52,2,Flat++
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,GMown E,1846,3,2,300,1.5,Plot
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,GMown E,1340,2,2,55.7,1,Flat++
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2,1,46,2,Flat+
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2,0,56.8,inf,Flat++
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2,2,52,1,Flat++
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,MaidoPl,2250,4,1,110,4,Flat+
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2,3,80,0.67,Flat++
Plot  Area,Ready To Move,Bellandur,4 Bedroom,Aiitya ,1200,5,1,325,5,Plot
Plot  Area,Ready To Move,Ejipura,7 Bedroom,Aiitya ,1800,7,1,250,7,Plot
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2,2,60,1,Flat++
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2,2,98,1,Flat++
Super built-up  Area,Ready To Move,Kothanur,2 BHK,NRosete,1186,2,2,58,1,Flat++
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,NRosete,1783,3,1,115,3,Flat+
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3,2,56,1.5,Flat++
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,Sancya ,980,2,1,48,2,Flat++
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Sancya ,1285,2,2,82,1,Flat++
Super built-up  Area,Ready To Move,Langford Town,3 BHK,Sancya ,912,2,1,70,2,Flat++
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2,2,47.6,1,Flat+
Super built-up  Area,Ready To Move,Whitefield,2 BHK,MSingco,1075,2,1,53,2,Flat++
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2,2,54,1,Flat+
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2,2,48.7,1,Flat++
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3,2,88,1.5,Flat++
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2,1,87,2,Flat++
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,Emstael,1207,2,2,43.5,1,Flat+
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,Emstael,1736,6,0,190,inf,Plot
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,Emstael,2850,4,1,428,4,Flat++
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3,2,65,1.5,Flat++
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,SNdri N,1798,3,2,89,1.5,Flat+
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3,2,78.29,1.5,Flat++
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3,3,100,1,Flat++
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2,1,65,2,Flat++
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,Itvir M,3600,6,0,141,inf,Flat+
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1,1,27,1,Flat++
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,Klark L,1415,3,3,78,1,Flat++
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3,2,98.29,1.5,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3,2,125,1.5,Flat++
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2,3,90,0.67,Flat++
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,AsastDe,2000,4,1,75.5,4,Flat+
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2,1,44.28,2,Flat++
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,4,2,74.82,2,Flat++
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4,2,260,2,Flat++
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2,2,72,1,Flat+
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,PrityTr,1500,2,1,115,2,Plot
Super built-up  Area,Ready To Move,Hebbal,3 BHK,PrityTr,1900,3,2,119,1.5,Flat++
Super built-up  Area,19-Aug,Dommasandra,2 BHK,PrityTr,805,2,1,22.14,2,Flat++
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,56.4,1,Flat++
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2,2,60,1,Flat++
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2,2,55,1,Flat++
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2,2,42,1,Flat+
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2,2,110,1,Flat++
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,Saityat,1500,2,1,65,2,Flat++
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,Saityat,1080,2,2,39,1,Flat++
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3,1,129,3,Flat++
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,SunceEs,3500,5,2,150,2.5,Flat+
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,SunceEs,1060,2,2,60,1,Flat+
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1,1,16.45,1,Flat++
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,SunceEs,2600,8,2,180,4,Plot
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1,1,16.45,1,Flat++
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3,3,84,1,Flat++
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2,3,72.5,0.67,Flat++
Plot  Area,Ready To Move,Electronic City,3 Bedroom,CoapeSo,1200,3,1,90,3,Plot
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2,1,40,2,Flat++
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3,1,70,3,Flat++
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3,2,280,1.5,Plot
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3,2,185,1.5,Flat++
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1,1,20,1,Flat++
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,BriumMi,1060,2,2,55,1,Flat+
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2,2,93,1,Flat++
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,Prarkun,900,2,2,22.5,1,Flat++
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,Prarkun,1280,2,1,69,2,Flat+
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,Prarkun,1200,2,0,95,inf,Plot
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Prarkun,1025,2,2,36,1,Flat+
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2,1,63,2,Flat++
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,Calyxy ,1200,5,2,170,2.5,Plot
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3,2,170,1.5,Flat++
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3,2,300,1.5,Plot
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3,2,75.5,1.5,Flat++
